construct_name	linker_name	junction_name	left_fragment	right_fragment	reaction_type	chemical_description	removed_atoms	structural_location	expected_effect	status
PegRNA3	Linker_1	Junction_1	Scaffold_fragment_1	Scaffold_fragment_2	azide-alkyne click coupling	3prime-azide–propargylamine–C(O)–	As reported: hydrogen atoms removed from oligonucleotide termini and propargylamine amino group	Non-base-paired scaffold hairpin region	Should preserve scaffold secondary and 3D structure	needs_chemical_validation
PegRNA3	Linker_2	Junction_2	Scaffold_fragment_2	Extension	amine/acylation plus azide-alkyne chemistry	3prime-amino–azidobutanoic-acid–propargylamine–C(O)–	As reported: oxygen and hydrogen atoms removed during product formation	Non-base-paired scaffold-to-extension region	Should preserve scaffold-extension geometry	needs_chemical_validation
