variant	junctions	ground_energy	active_energy_strict	active_energy_relaxed	folding_energy_strict	folding_energy_relaxed	folding_barrier_strict	folding_barrier_relaxed	spacer_accessibility	seed_accessibility
sgRNA_control	none	-24.3	-13.4	-14.9	10.9	9.4	12.0	12.0	0.3551	0.9168
unmodified	none	-54.3	-15.0	-27.0	39.3	27.3	39.6	32.8	0.1971	0.3389
two_linker	35/36, 97/98	-50.2	-15.0	-27.0	35.2	23.2	37.0	29.4	0.197	0.3384
three_linker	35/36, 77/78, 121/122	-47.5	-15.0	-24.5	32.5	23.0	34.3	26.2	0.3131	0.3391
four_linker	35/36, 77/78, 97/98, 121/122	-43.6	-15.0	-24.5	28.6	19.1	30.4	22.3	0.3132	0.3395
linker_35_36_only	35/36	-54.3	-15.0	-27.0	39.3	27.3	39.6	32.8	0.1971	0.339
linker_77_78_only	77/78	-53.9	-15.0	-27.0	38.9	26.9	40.7	33.9	0.1971	0.3392
linker_97_98_only	97/98	-50.2	-15.0	-27.0	35.2	23.2	37.0	29.4	0.197	0.3383
linker_121_122_only	121/122	-47.9	-15.0	-24.5	32.9	23.4	33.2	26.6	0.3131	0.3389
